event_id,ticker,event_date,fnspid_coverage_available,fnspid_news_hit,fnspid_hit_sources,fnspid_news_count_pre_1d,fnspid_news_count_post_1d,fnspid_news_count_pre_3d,fnspid_news_count_post_3d,fnspid_news_count_pre_7d,fnspid_news_count_post_7d,fnspid_mean_sentiment_pre_3d,fnspid_mean_sentiment_post_3d,fnspid_max_abs_sentiment_pre_3d,fnspid_source_count_pre_7d,fnspid_unique_title_count_pre_7d,fnspid_first_article_date_near_event,fnspid_last_article_date_near_event
159,TSLA,2025-09-15,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
160,NVDA,2025-09-15,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
161,NVDA,2025-09-15,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
162,AMD,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
163,GOOGL,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
164,AMZN,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
165,MSFT,2026-03-09,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
166,MSFT,2026-03-09,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
167,AMZN,2024-01-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
168,MSFT,2024-09-20,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
169,NVDA,2023-12-15,True,True,primary_only,16,26,51,26,131,26,0.0,0.0,0.0,0,0,2023-12-08,2023-12-16
170,TSLA,2023-08-04,True,True,primary_only,20,14,67,36,112,102,0.0,0.0,0.0,0,0,2023-07-28,2023-08-11
171,NVDA,2023-08-04,True,True,primary_only,29,26,72,48,126,156,0.0,0.0,0.0,0,0,2023-07-28,2023-08-11
172,AMD,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
173,AMD,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
174,GOOGL,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
175,AMZN,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
176,UBER,2026-03-03,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
177,MSFT,2023-01-25,True,True,primary_only,39,73,78,91,151,149,0.0,0.0,0.0,0,0,2023-01-18,2023-02-01
178,NVDA,2025-07-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
179,AMD,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
180,AMD,2025-08-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
181,NVDA,2025-08-17,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
182,SHOP,2023-08-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
183,NVDA,2023-08-18,True,True,primary_only,27,35,86,90,147,353,0.0,0.0,0.0,0,0,2023-08-11,2023-08-25
184,GOOGL,2023-08-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
185,MSFT,2023-08-18,True,True,primary_only,16,19,49,34,90,138,0.0,0.0,0.0,0,0,2023-08-11,2023-08-25
186,DIS,2023-02-08,True,True,primary_only,4,50,24,56,45,81,0.0,0.0,0.0,0,0,2023-02-01,2023-02-15
187,NVDA,2025-07-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
188,AMZN,2023-04-27,True,True,primary_only,34,88,97,100,160,179,0.0,0.0,0.0,0,0,2023-04-20,2023-05-04
189,NVDA,2025-07-16,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
190,MSFT,2026-03-10,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
191,MSFT,2026-03-10,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
192,MSFT,2023-09-25,True,True,primary_only,8,50,42,100,108,155,0.0,0.0,0.0,0,0,2023-09-18,2023-10-02
193,AMD,2025-08-10,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
194,NVDA,2025-08-10,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
195,PYPL,2025-08-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
196,SOFI,2025-08-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
197,GOOGL,2025-08-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
198,AMD,2025-08-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
199,AMD,2025-08-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
200,AMD,2025-08-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
201,AMD,2025-08-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
202,NVDA,2025-08-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
203,NVDA,2025-08-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
204,UBER,2026-03-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
205,UBER,2026-03-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
206,AAPL,2024-01-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
207,AAPL,2024-01-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
208,NVDA,2024-01-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
209,GOOGL,2024-01-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
210,PYPL,2023-08-06,True,True,primary_only,2,8,35,18,64,29,0.0,0.0,0.0,0,0,2023-07-30,2023-08-13
211,AMD,2026-02-09,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
212,AMD,2026-02-09,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
213,AMD,2026-02-09,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
214,NVDA,2026-02-09,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
215,NVDA,2025-08-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
216,TSLA,2023-04-19,True,True,primary_only,16,102,62,137,122,193,0.0,0.0,0.0,0,0,2023-04-12,2023-04-26
217,NVDA,2023-04-19,True,True,primary_only,21,21,35,37,80,84,0.0,0.0,0.0,0,0,2023-04-12,2023-04-26
218,PYPL,2025-08-24,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
219,NFLX,2023-03-24,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
220,AAPL,2023-04-28,True,True,primary_only,16,17,56,43,100,174,0.0,0.0,0.0,0,0,2023-04-21,2023-05-05
221,AAPL,2023-04-28,True,True,primary_only,16,17,56,43,100,174,0.0,0.0,0.0,0,0,2023-04-21,2023-05-05
222,AMZN,2023-04-28,True,True,primary_only,42,54,97,77,181,158,0.0,0.0,0.0,0,0,2023-04-21,2023-05-05
223,TSLA,2023-04-28,True,True,primary_only,18,18,50,35,109,92,0.0,0.0,0.0,0,0,2023-04-21,2023-05-05
