event_id,ticker,company_name,event_date,effective_trading_event_date,sec_confounded_flag,gdelt_article_count_pm5,gdelt_major_news_flag_pm5,free_news_confounded_flag,free_news_clean_flag,free_news_unknown_flag,provider_coverage_status,ar_1d,ar_5d,timing_bucket,duplicate_cluster_size,top5_flag
548,NFLX,Netflix,2024-04-13,2024-04-15,True,0,False,True,False,False,gdelt_only,0.027315,0.016351,weekend_or_holiday,1,False
549,NVDA,Nvidia,2024-11-23,2024-11-25,True,6,True,True,False,False,gdelt_only,-0.014512,0.048945,weekend_or_holiday,1,True
550,MSFT,Microsoft,2024-11-23,2024-11-25,True,1,False,True,False,False,gdelt_only,0.00331,-0.047628,weekend_or_holiday,2,False
551,MSFT,Microsoft,2024-11-23,2024-11-25,True,1,False,True,False,False,gdelt_only,-0.00167,0.017064,weekend_or_holiday,2,False
552,AAPL,Apple,2024-11-23,2024-11-25,False,6,True,True,False,False,gdelt_only,0.000178,0.034324,weekend_or_holiday,2,True
553,AAPL,Apple,2024-11-23,2024-11-25,False,5,True,True,False,False,gdelt_only,0.000178,0.034324,weekend_or_holiday,2,True
554,UBER,Uber,2024-11-16,2024-11-18,False,1,False,False,True,False,gdelt_only,0.002918,0.024672,weekend_or_holiday,1,False
555,AMD,AMD,2025-11-04,2025-11-04,True,6,True,True,False,False,gdelt_only,0.014309,0.010173,after_close,4,True
556,AMD,AMD,2025-11-04,2025-11-04,True,5,True,True,False,False,gdelt_only,-0.032935,-0.133079,after_close,4,True
557,AMD,AMD,2025-11-04,2025-11-04,True,5,True,True,False,False,gdelt_only,-0.003713,0.016401,after_close,4,True
558,AMD,AMD,2025-11-04,2025-11-04,True,6,True,True,False,False,gdelt_only,-0.004438,-0.151269,after_close,4,True
559,PLTR,Palantir,2025-11-04,2025-11-04,True,1,False,True,False,False,gdelt_only,0.008767,0.032876,after_close,4,False
560,NVDA,Nvidia,2025-11-04,2025-11-04,False,5,True,True,False,False,gdelt_only,0.005036,0.028614,during_market,2,True
561,NVDA,Nvidia,2025-11-04,2025-11-04,False,5,True,True,False,False,gdelt_only,0.001109,-0.006574,during_market,2,True
562,PLTR,Palantir,2025-11-04,2025-11-04,True,0,False,True,False,False,gdelt_only,0.010644,0.145579,during_market,4,False
563,PLTR,Palantir,2025-11-04,2025-11-04,True,0,False,True,False,False,gdelt_only,0.010644,0.145579,during_market,4,False
564,PLTR,Palantir,2025-11-04,2025-11-04,True,1,False,True,False,False,gdelt_only,0.010644,0.145579,during_market,4,False
565,META,Meta,2025-11-04,2025-11-04,True,1,False,True,False,False,gdelt_only,0.010644,0.145579,during_market,1,False
566,GOOGL,Alphabet,2025-11-04,2025-11-04,True,1,False,True,False,False,gdelt_only,0.011235,0.036012,during_market,1,False
567,NVDA,Nvidia,2024-04-19,2024-04-19,False,6,True,True,False,False,gdelt_only,-0.003911,0.009161,after_close,1,True
568,AMZN,Amazon,2024-07-11,2024-07-11,False,6,True,True,False,False,gdelt_only,-0.003911,0.009161,during_market,1,True
569,SOFI,SoFi,2025-12-16,2025-12-16,False,0,False,False,True,False,gdelt_only,-0.008087,0.003817,during_market,1,False
570,NVDA,Nvidia,2024-06-12,2024-06-12,True,6,True,True,False,False,gdelt_only,-0.001882,0.058275,after_close,1,True
571,CRM,CRM,2025-03-01,2025-03-03,True,1,False,True,False,False,gdelt_only,0.075569,0.159554,weekend_or_holiday,1,False
572,AMZN,Amazon,2025-03-01,2025-03-03,False,7,True,True,False,False,gdelt_only,0.075569,0.159554,weekend_or_holiday,3,True
573,AMZN,Amazon,2025-03-01,2025-03-03,False,5,True,True,False,False,gdelt_only,0.075569,0.159554,weekend_or_holiday,3,True
574,AMZN,Amazon,2025-03-01,2025-03-03,False,7,True,True,False,False,gdelt_only,0.010043,0.110368,weekend_or_holiday,3,True
575,NVDA,Nvidia,2025-03-01,2025-03-03,True,6,True,True,False,False,gdelt_only,0.027605,0.085006,weekend_or_holiday,1,True
576,PYPL,PayPal,2025-03-01,2025-03-03,True,0,False,True,False,False,gdelt_only,0.027605,0.085006,weekend_or_holiday,1,False
577,NVDA,Nvidia,2025-01-30,2025-01-30,False,7,True,True,False,False,gdelt_only,0.027605,0.085006,after_close,1,True
578,AMZN,Amazon,2025-02-04,2025-02-04,True,6,True,True,False,False,gdelt_only,0.027605,0.085006,during_market,1,True
579,NFLX,Netflix,2025-12-15,2025-12-15,True,1,False,True,False,False,gdelt_only,0.027605,0.085006,during_market,1,False
