event_id,ticker,creator,recommendation_type,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,actionability_score,interval,start_offset,end_offset,spy_interval_ar,spy_interval_car,right_censored,status,missing_price_reason
1841,TSLA,Chris Sain,buy,True,False,True,False,2,64_126,63,126,0.220628,0.217010,False,computed,
1841,TSLA,Chris Sain,buy,True,False,True,False,2,127_252,126,252,-0.058349,-0.021032,True,computed,
1841,TSLA,Chris Sain,buy,True,False,True,False,2,253_504,252,504,,,True,missing,insufficient_market_window
1841,TSLA,Chris Sain,buy,True,False,True,False,2,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1842,NVDA,Best of Us Investors,sell,True,True,True,True,3,0_5,0,5,-0.015829,-0.015241,False,computed,
1842,NVDA,Best of Us Investors,sell,True,True,True,True,3,6_20,5,20,0.065494,0.065217,False,computed,
1842,NVDA,Best of Us Investors,sell,True,True,True,True,3,21_63,20,63,-0.056846,-0.045901,False,computed,
1842,NVDA,Best of Us Investors,sell,True,True,True,True,3,64_126,63,126,0.007277,0.020642,False,computed,
1842,NVDA,Best of Us Investors,sell,True,True,True,True,3,127_252,126,252,0.147423,0.137375,True,computed,
1842,NVDA,Best of Us Investors,sell,True,True,True,True,3,253_504,252,504,,,True,missing,insufficient_market_window
1842,NVDA,Best of Us Investors,sell,True,True,True,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1843,META,Chris Sain,buy,False,False,True,True,3,0_5,0,5,-0.031765,-0.031175,False,computed,
1843,META,Chris Sain,buy,False,False,True,True,3,6_20,5,20,-0.027609,-0.026938,False,computed,
1843,META,Chris Sain,buy,False,False,True,True,3,21_63,20,63,0.015799,0.024686,False,computed,
1843,META,Chris Sain,buy,False,False,True,True,3,64_126,63,126,-0.160141,-0.152591,False,computed,
1843,META,Chris Sain,buy,False,False,True,True,3,127_252,126,252,-0.153644,-0.126864,True,computed,
1843,META,Chris Sain,buy,False,False,True,True,3,253_504,252,504,,,True,missing,insufficient_market_window
1843,META,Chris Sain,buy,False,False,True,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1844,GOOGL,Chris Sain,buy,False,False,True,True,3,0_5,0,5,0.020327,0.020289,False,computed,
1844,GOOGL,Chris Sain,buy,False,False,True,True,3,6_20,5,20,0.064066,0.062684,False,computed,
1844,GOOGL,Chris Sain,buy,False,False,True,True,3,21_63,20,63,0.195864,0.175662,False,computed,
1844,GOOGL,Chris Sain,buy,False,False,True,True,3,64_126,63,126,0.260305,0.234635,False,computed,
1844,GOOGL,Chris Sain,buy,False,False,True,True,3,127_252,126,252,0.190510,0.176301,True,computed,
1844,GOOGL,Chris Sain,buy,False,False,True,True,3,253_504,252,504,,,True,missing,insufficient_market_window
1844,GOOGL,Chris Sain,buy,False,False,True,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1845,NVDA,Best of Us Investors,buy,True,True,True,False,3,0_5,0,5,-0.046795,-0.047309,False,computed,
1845,NVDA,Best of Us Investors,buy,True,True,True,False,3,6_20,5,20,0.006153,0.009237,False,computed,
1845,NVDA,Best of Us Investors,buy,True,True,True,False,3,21_63,20,63,0.008825,0.020019,False,computed,
1845,NVDA,Best of Us Investors,buy,True,True,True,False,3,64_126,63,126,0.038427,0.046976,False,computed,
