event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,status
5,TSLA,The Investor Channel,buy,2023-06-23,5D,Carhart,-0.020762,True,False,5,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,1D,SPY_adjusted,-0.023090,False,True,6,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,1D,FF3,-0.018030,False,True,6,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,1D,FF5,-0.015825,False,True,6,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,1D,Carhart,0.004227,False,True,6,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,SPY_adjusted,-0.002408,False,True,6,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,FF3,0.021394,False,True,6,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,FF5,0.029806,False,True,6,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,Carhart,0.050290,False,True,6,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,SPY_adjusted,0.026240,False,True,7,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,FF3,0.023336,False,True,7,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,FF5,0.022990,False,True,7,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,Carhart,0.025313,False,True,7,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,SPY_adjusted,0.013292,False,True,7,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF3,0.026270,False,True,7,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5,0.027547,False,True,7,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,Carhart,0.030939,False,True,7,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,SPY_adjusted,-0.016324,False,True,8,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,FF3,-0.018126,False,True,8,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,FF5,-0.022045,False,True,8,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,Carhart,-0.020405,False,True,8,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,SPY_adjusted,-0.051086,False,True,8,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF3,-0.043191,False,True,8,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5,-0.044463,False,True,8,computed
8,UBER,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,Carhart,-0.048575,False,True,8,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,SPY_adjusted,0.020150,True,True,9,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,FF3,0.008934,True,True,9,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,FF5,0.011479,True,True,9,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,Carhart,0.005733,True,True,9,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,SPY_adjusted,-0.001179,True,True,9,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF3,0.017391,True,True,9,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,FF5,0.025211,True,True,9,computed
9,NVDA,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,Carhart,0.009829,True,True,9,computed
10,NFLX,"Parkev Tatevosian, CFA",buy,2026-02-06,1D,SPY_adjusted,-0.013703,False,True,10,computed
