sample_mode,horizon,benchmark,N,mean_abnormal_return,median_abnormal_return,standard_deviation,standard_error,t_stat,p_value,win_rate,bootstrap_ci_lower,bootstrap_ci_upper
cap_1000_per_creator,2M,QQQ,409,0.017948,-0.012757,0.173928,0.0086,2.0869,0.037514,0.432763,0.001594,0.036509
cap_1000_per_creator,2M,IWM,409,0.025592,0.000743,0.192171,0.009502,2.6933,0.00736726,0.501222,0.007819,0.045614
cap_1000_per_creator,2M,SECTOR,408,0.02469,-0.008219,0.166565,0.008246,2.9942,0.00291989,0.465686,0.009141,0.041757
cap_1000_per_creator,2W,SPY,453,0.007075,-0.002344,0.090967,0.004274,1.6554,0.09854743,0.479029,-0.001664,0.015338
cap_1000_per_creator,2W,QQQ,453,0.00485,-0.003203,0.086848,0.00408,1.1886,0.23520607,0.474614,-0.003747,0.012683
cap_1000_per_creator,2W,IWM,453,0.006961,-0.003651,0.092875,0.004364,1.5953,0.1113505,0.472406,-0.002193,0.015254
cap_1000_per_creator,2W,SECTOR,451,0.009045,-0.001384,0.07831,0.003687,2.4529,0.01455056,0.490022,0.002165,0.015428
cap_1000_per_creator,2Y,SPY,101,0.557215,0.163773,1.156651,0.115091,4.8415,4.7e-06,0.643564,0.333261,0.807743
cap_1000_per_creator,2Y,QQQ,101,0.453857,0.073851,1.155032,0.11493,3.949,0.00014621,0.544554,0.232086,0.703235
cap_1000_per_creator,2Y,IWM,101,0.715687,0.442481,1.166254,0.116047,6.1672,1e-08,0.762376,0.493586,0.966781
cap_1000_per_creator,2Y,SECTOR,100,0.529979,0.1186,1.132147,0.113215,4.6812,9.07e-06,0.6,0.326978,0.762122
cap_1000_per_creator,3M,SPY,367,0.033994,-0.002838,0.231691,0.012094,2.8108,0.00520765,0.485014,0.010066,0.058771
cap_1000_per_creator,3M,QQQ,367,0.025548,-0.011242,0.221146,0.011544,2.2132,0.02750254,0.46049,0.002923,0.048803
cap_1000_per_creator,3M,IWM,367,0.033314,-0.00669,0.241449,0.012604,2.6432,0.00856449,0.487738,0.009429,0.058856
cap_1000_per_creator,3M,SECTOR,366,0.036547,0.001594,0.21005,0.010979,3.3286,0.00096165,0.510929,0.016246,0.057299
cap_1000_per_creator,3W,SPY,440,0.009778,-0.001024,0.108872,0.00519,1.8839,0.06023976,0.495455,-0.000388,0.020089
cap_1000_per_creator,3W,QQQ,440,0.006883,-0.003608,0.103839,0.00495,1.3903,0.16512946,0.479545,-0.002613,0.016743
cap_1000_per_creator,3W,IWM,440,0.010747,0.000509,0.112656,0.005371,2.001,0.04600757,0.502273,0.000251,0.021205
cap_1000_per_creator,3W,SECTOR,438,0.011802,-0.003496,0.096229,0.004598,2.5668,0.01059515,0.458904,0.003239,0.020919
cap_1000_per_creator,6M,SPY,277,0.065903,0.007569,0.34293,0.020605,3.1984,0.00154278,0.509025,0.027917,0.10814
