creator,horizon,event_count,top5_share,mean_pre21_spy_bhar,right_censored,n,mean,median,t_stat,p_value,win_rate
"Value Investing with Sven Carlin, Ph.D.",21D,43,0.7442,0.006343,5,43,0.025318,0.033136,2.086,0.036953,0.6047
"Value Investing with Sven Carlin, Ph.D.",252D,43,0.7442,0.006343,40,43,0.102339,0.133535,3.493,0.000477,0.8837
"Value Investing with Sven Carlin, Ph.D.",504D,43,0.7442,0.006343,43,43,0.100657,0.137930,3.240,0.001194,0.8837
"Value Investing with Sven Carlin, Ph.D.",5D,43,0.7442,0.006343,0,43,0.003970,-0.004256,0.612,0.540260,0.4884
"Value Investing with Sven Carlin, Ph.D.",63D,43,0.7442,0.006343,21,43,0.068266,0.075530,3.968,0.000072,0.6512
"Value Investing with Sven Carlin, Ph.D.",end_of_sample,43,0.7442,0.006343,0,43,0.100657,0.137930,3.240,0.001194,0.8837
ZipTrader,126D,33,0.4545,-0.059757,4,33,-0.459069,-0.512172,-4.805,0.000002,0.2424
ZipTrader,21D,33,0.4545,-0.059757,3,33,-0.318600,-0.098396,-4.914,0.000001,0.1515
ZipTrader,252D,33,0.4545,-0.059757,4,33,-0.527260,-0.605714,-5.211,0.000000,0.2727
ZipTrader,504D,33,0.4545,-0.059757,8,33,-0.546158,-0.268358,-3.479,0.000504,0.2727
ZipTrader,5D,33,0.4545,-0.059757,0,33,-0.090239,-0.151269,-3.382,0.000719,0.3030
ZipTrader,63D,33,0.4545,-0.059757,4,33,-0.330483,-0.327500,-4.768,0.000002,0.2424
ZipTrader,end_of_sample,33,0.4545,-0.059757,0,33,-0.519695,-0.268358,-2.409,0.015977,0.3636
